53037,8450,842827,58676,155445,278239,4848,1352,4651,647494,83914,52862,111859,205743,79209,169402,90323,23988,59843,3465,15315,12730,71535,5654987,36188,137600,805915,153434,213202,2044,16675,52986,27431,60126,144926018,106848,121433,65738,42308,2417,32010,1175473,83950,471047,117793,615,34636,93039,11777,196300,167988,2694
1252448,41275,1705961,439922,1497960,1077278,186658,94230,207114,22707581,3048755,254918,84799,3092569,12325978,407218,296814,15858648,513767,77540,786163,378973,11480559,456967,389359,1148305,136033,200225,995352,83612,677179,237540,2239662,3077710,66345,2439943529,452233,163670,10826750,41615,3459994,76860,5158614,2653782,407252,51647,2271486,249748,13245546,629882,135798,68453
541340,43905,896253,9384877,989312,1496277,22216,12356,31149,1935150,540068,143131,97576,641549,377532,620538,4205886,211596,887303,19115,91452,44843,182320,281217,437340,4587112,108666,319708,429439,16276,79811,975992,184769,357208,78677,451217,934128319,127081,225021,10800,206451,90718,673473,19111974,233119,7184,234260,207185,43778,231202,138842,8023
97270,240595,2321560,104146,7594105,598237,23516,13126,23686,1117907,236257,1187564,2605026,225964,126601,163315,110218,75743,146818,17046,69392,79450,108488,142191,82084,227073,453533,128941,1536505,14241,50193,163505,153315,202231,58042,170210,201204,758124615,138801,10162,143581,57756,209968,1283957,868313,8715,178425,16900264,18931,89474,183330,5597
635214,43993,945904,311690,1462614,890539,1054559,7948027,835628,15534069,1943904,177403,82654,1263467,1376517,307826,238363,830692,464305,240350,16974267,1295265,2197468,339528,270702,627132,122561,142658,553204,233983,28830927,190380,17519199,3533040,53184,11697841,345570,135046,2415018934,223848,3228584,50595,1563407,2203185,372787,382600,6499072,289665,5894049,420642,122955,321159
28211,8450,54617,8367,139549,41865,3016299,18919,62413,1641199,120103,34976,7744,43899,28099,8129,7794,17514,23908,235373,129838,14391804,36808,9697,20492,29767,5872,4892,22361,887404,401028,5221,927227,156664,2634,71388,15695,8878,287090,183565484,145095,1178,45429,130834,17587,178775,205796,20873,17290,18058,7754,28960
1286385,31689,374244,226442,684664,463445,225132,87208,88605,7785982,16524344,96261,50786,555260,488644,144679,138191,673761,414714,47371,592432,267218,450498,141869,415206,340015,79071,86624,294940,65717,671230,91463,1029558,32714901,20282,1086830,177032,96044,1042154,46111,1109745793,31887,3893435,1446990,214099,19290,2203541,182587,542438,194695,51826,30760
45624,8388,640307,44360,187351,404895,5859,2034,5775,643047,85470,39604,32564,249791,80421,2928137,230078,30736,43056,6888,16908,8281,43772,2148328,34737,247604,160631,1814469,149080,4062,10978,49618,34025,66155,796734,124432,120088,37700,47377,576,41855,171501891,85307,506205,78608,1150,45569,60732,16290,175982,465020,6327
11064201,43753,828682,3627367,1263221,978602,112959,48105,92647,11623269,12569043,178937,111816,1938195,1867843,399632,345797,11293434,1262481,46651,344310,167150,895338,250946,10557744,1945741,143113,157518,488624,39256,290076,246945,519085,5123367,35172,1741252,579609,136151,729193,27375,2985029,59422,1482442162,3477382,334399,20189,4878234,223654,420356,351923,130071,26680
4203304,254673,6266970,11411399,9086951,10550093,324752,122301,238852,16629534,5111467,1207771,597483,4143288,2235835,1430368,3487284,1506054,22947867,139641,911614,662390,1587711,1227153,4515317,5054140,636832,1050449,3933208,119580,916109,11293472,2119423,2629337,331046,2337107,21937091,964103,1808006,83421,1747621,386280,4818490,6425841011,2314370,64351,2328663,1553415,338896,1161785,659219,213094
136774,77790,3264060,135370,4330230,2005455,44862,15525,29469,1908848,370154,1137601,3486713,302376,165185,154704,158314,98859,168805,14949,92584,99421,170133,139902,87526,299106,460299,259974,4843378,21880,78363,470370,276412,248498,75547,208804,217368,706510,159998,12847,171654,78200,224540,1778297,622004651,10650,252000,830980,26334,102308,1127896,19319
28544,6148,32072,11105,74306,69541,784755,12548,16040,682174,65925,21404,5741,40432,35168,16940,10136,23814,34071,203438,53253,1246621,41538,13966,19598,22988,12934,5536,16734,3881410,375930,18351,1919692,132784,2220,81228,14476,9013,195984,113645,96034,1201,48830,119339,35975,98548034,115543,11035,8662,22227,10304,10115
1040574,51989,822531,361730,1772343,851897,396176,955680,7571280,10672886,3403915,303028,115493,866475,796952,261360,246610,1507454,618357,158294,14387186,854837,767919,205637,523228,662608,119628,128594,441537,144017,1808814,207118,2595521,19426429,36898,1808963,401117,162530,5096587,121922,5674841,68565,9776137,2792074,400724,110204,1631421104,397362,5792427,347395,84740,81874
228334,1023360,5840012,189847,9367079,1114748,76091,27273,78350,2918792,711610,3060767,10290847,600291,299897,261276,272661,174317,330273,31218,180093,195927,323130,350756,146937,493625,1853936,238075,2626982,40661,158584,347294,414127,470485,171946,364980,343959,28802914,338357,30012,367450,196596,486664,3082573,1622557,19562,423721,1327208799,41105,245513,335864,21383
181204,7200,83596,81205,139669,87824,42443,66022,256311,1634488,423933,18401,10056,194434,306405,104776,30748,2671525,113241,14776,5926724,67211,277538,48031,72037,125014,13076,21616,56829,15261,185717,27359,400316,1255624,10329,9858425,80921,20938,4916352,7323,876451,14856,1019512,377471,30566,14026,9458994,32364,359785320,109042,16432,4358
1124353,34902,2608039,298860,1197237,1025998,52379,10886,48399,11984973,1086578,332691,85397,15894803,2100730,4520696,326970,802521,314165,376813,165515,117206,3339005,13979107,305310,1769041,201360,361519,767645,68377,123267,168018,321131,1094936,237335,945858,486844,136427,390231,18988,702092,323056,1601099,1993062,298015,22166,563545,230387,247776,1135803977,121597,41943
48456,15964,517863,63991,344442,3042370,9392,2807,10357,393185,91105,62685,539655,100886,48303,99300,118216,31415,74932,8535,27357,18431,62696,85736,40204,140231,889456,640502,307920,7523,11663,114892,39295,68333,157423,66932,128925,111393,48881,899,48044,793187,86197,687605,1403408,5349,53554,118640,23268,48500,110431813,169
214573,35429,532607,142098,1362576,1213075,1000142,91363,497632,37383159,2402494,155932,16243,1227290,634136,289952,146690,165566,540813,22448,983610,2610887,414969,376280,203231,591188,13275,51730,604485,192675,1919826,88690,8438381,1663814,15130,1002225,158573,36063,3681025,369987,553844,85091,492978,4065683,421644,129100,1245881,131030,73219,565698,26285,416594449
